City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
196,klyuchi,52.2667,79.1667,19.04,63,52,1.62,RU,1690042294
197,debre mark'os,10.35,37.7333,14.18,87,99,2.02,ET,1690042294
198,trondheim,63.4305,10.3951,17.03,79,97,1.84,NO,1690042295
199,lishui,28.4604,119.9103,26.03,99,100,1.31,CN,1690042083
200,kyzyl,51.7,94.45,19.21,63,73,2.52,RU,1690042295
201,undurkhaan,47.3194,110.6556,15.91,67,81,2.24,MN,1690042295
202,pangoa,-12.1167,-73.0,29.3,46,75,1.29,PE,1690042295
203,zouerate,22.7187,-12.4521,42.4,10,9,7.12,MR,1690042295
204,la'ie,21.6477,-157.9253,25.98,83,68,6.22,US,1690042295
205,novodvinsk,64.4165,40.8122,17.92,75,100,0.86,RU,1690042296
206,udachny,66.4167,112.4,21.36,52,46,5.09,RU,1690042296
207,proletariy,58.4342,31.7046,18.97,54,96,2.77,RU,1690042296
208,pisco,-13.7,-76.2167,21.03,68,75,4.12,PE,1690042296
209,cerro azul,21.2,-97.7333,31.78,54,83,1.64,MX,1690042296
210,freeport,40.6576,-73.5832,28.5,56,0,4.63,US,1690042296
211,giulianova,42.7612,13.9537,34.34,77,14,5.41,IT,1690042297
212,arteche,12.2645,125.4048,25.28,93,98,4.85,PH,1690042297
213,beroroha,-21.6667,45.1667,21.21,77,88,2.34,MG,1690042297
214,taulaga,-11.0553,-171.0883,27.93,76,9,2.36,AS,1690042297
215,taroa,8.7058,171.2275,28.05,77,80,7.82,MH,1690042297
216,coquimbo,-29.9533,-71.3436,19.85,52,0,3.09,CL,1690042101
217,huntington,38.4193,-82.4452,26.6,62,40,3.09,US,1690042298
218,revelstoke,50.9832,-118.2023,21.01,64,0,1.03,CA,1690042298
219,wajir,1.7471,40.0573,30.02,44,99,10.38,KE,1690042298
220,chaman,30.9236,66.4512,32.93,15,97,1.14,PK,1690042298
221,queenstown,-31.8976,26.8753,14.75,49,98,7.13,ZA,1690042298
222,pont rouge,48.8833,-72.0825,19.06,96,100,1.23,CA,1690042298
223,natal,-5.795,-35.2094,30.36,54,40,5.66,BR,1690042299
224,port elizabeth,-33.918,25.5701,15.16,88,0,5.66,ZA,1690042299
225,ma'rib,15.4591,45.3253,36.59,8,94,4.7,YE,1690042299
226,san lawrenz,36.0553,14.204,38.67,71,0,4.38,MT,1690042299
227,tondano,1.3038,124.9112,20.05,94,100,1.58,ID,1690042299
228,saurimo,-9.6608,20.3916,31.16,17,26,2.47,AO,1690042300
229,mejit,10.2753,170.8646,27.99,77,94,7.49,MH,1690042300
230,acarau,-2.8856,-40.12,31.06,45,0,7.54,BR,1690042300
231,basco,20.4487,121.9702,29.08,80,35,6.19,PH,1690042300
232,virginia,37.5481,-77.4467,25.99,70,75,3.09,US,1690042220
233,greymouth,-42.4667,171.2,4.65,90,99,2.29,NZ,1690042300
234,comodoro rivadavia,-45.8667,-67.5,3.53,89,90,5.76,AR,1690042301
235,port mathurin,-19.6833,63.4167,23.41,70,0,10.11,MU,1690042301
236,kasempa,-13.4584,25.8338,23.24,28,4,2.63,ZM,1690042301
237,bayanaul,50.7889,75.6956,20.4,35,11,2.02,KZ,1690042302
238,kyzylorda,44.8528,65.5092,29.53,17,23,4.75,KZ,1690042302
239,puerto escondido,15.85,-97.0667,33.46,62,0,2.06,MX,1690042302
240,yarega,63.4354,53.5765,16.89,80,54,2.1,RU,1690042302
241,general acha,-37.377,-64.6043,13.13,58,100,9.64,AR,1690042302
242,nueva gerona,21.8833,-82.8,31.97,62,8,3.65,CU,1690042303
243,san ciro de acosta,21.6333,-99.8167,25.58,65,90,1.06,MX,1690042303
244,kruisfontein,-34.0033,24.7314,13.82,80,73,3.16,ZA,1690042303
245,tazovsky,67.4667,78.7,15.43,95,83,3.47,RU,1690042303
246,hithadhoo,-0.6,73.0833,28.28,74,65,2.65,MV,1690042303
247,beira,-19.8436,34.8389,23.05,100,75,3.09,MZ,1690042303
248,dongargarh,21.2,80.7333,24.78,90,99,2.85,IN,1690042304
249,khilok,51.3674,110.4676,14.06,70,81,1.0,RU,1690042304
250,san fernando,15.0286,120.6898,25.95,90,100,1.09,PH,1690042304
251,trairi,-3.2778,-39.2689,30.92,44,0,7.05,BR,1690042304
252,brigantine,39.4101,-74.3646,28.91,61,0,3.09,US,1690042304
253,abepura,-2.6333,140.5833,25.45,83,20,1.54,ID,1690042305
254,kabba,7.8287,6.0731,24.5,89,97,2.47,NG,1690042305
255,booue,-0.0921,11.9385,30.19,53,79,0.55,GA,1690042305
256,mili,6.0815,171.735,27.45,81,81,5.43,MH,1690042305
257,kidal,18.4411,1.4078,40.04,17,66,3.01,ML,1690042305
258,ouadda,8.0777,22.4007,20.84,97,97,1.31,CF,1690042305
259,chadron,42.8294,-102.9999,25.82,50,0,0.0,US,1690042305
260,gallipoli,40.4103,26.6708,31.92,47,0,2.4,TR,1690042306
261,nabire,-3.3667,135.4833,24.16,93,65,2.19,ID,1690042306
262,colares,38.7992,-9.4469,27.55,64,20,12.86,PT,1690042306
263,sumbawa besar,-8.5,117.4333,20.3,88,65,2.71,ID,1690042306
264,menongue,-14.6585,17.691,27.59,18,98,1.72,AO,1690042306
265,botshabelo,-29.2702,26.7052,12.64,53,94,2.72,ZA,1690042306
266,al abyar,32.19,20.5965,32.84,30,0,7.92,LY,1690042307
267,axim,4.8699,-2.2405,25.92,76,98,5.13,GH,1690042307
268,turkmenbasy,40.0222,52.9552,28.63,46,0,7.13,TM,1690042307
269,yuzhno-kurilsk,44.0306,145.8556,14.49,97,89,4.44,RU,1690042307
270,egilsstadir,65.2653,-14.3948,13.95,67,75,3.09,IS,1690042307
271,sitka,57.0531,-135.33,14.94,82,100,0.0,US,1690042308
272,fayroz koh,34.5195,65.2509,21.94,25,0,2.89,AF,1690042308
273,dudinka,69.4058,86.1778,18.68,85,87,3.22,RU,1690042308
274,ulimang,7.6242,134.6421,25.23,79,80,3.82,PW,1690042308
275,ambon,-3.6954,128.1814,27.15,16,40,2.06,ID,1690042308
276,tamanrasset,22.785,5.5228,35.95,9,20,4.63,DZ,1690042308
277,port lincoln,-34.7333,135.8667,11.33,67,23,6.61,AU,1690042309
278,bellwood,41.8814,-87.8831,28.29,50,20,3.6,US,1690042309
279,ati,13.2154,18.3353,37.87,29,89,1.48,TD,1690042309
280,lazaro cardenas,17.9583,-102.2,27.03,76,100,2.32,MX,1690042309
281,mana,5.6592,-53.7767,28.93,72,47,3.87,GF,1690042309
282,sarlat-la-caneda,44.889,1.2166,28.06,32,1,2.55,FR,1690042309
283,kirkwall,58.9848,-2.9587,15.03,77,20,4.12,GB,1690042310
284,okrika,4.7416,7.0849,25.04,88,100,3.62,NG,1690042310
285,togur,58.3631,82.8265,19.28,88,90,3.08,RU,1690042310
286,aasiaat,68.7098,-52.8699,3.65,98,100,2.24,GL,1690042310
287,gagra,43.3283,40.2239,25.51,86,37,1.96,GE,1690042310
288,zhengjiatun,43.5064,123.5064,20.67,97,100,6.75,CN,1690042207
289,mossel bay,-34.1831,22.146,11.96,70,26,0.74,ZA,1690042310
290,san pedro pochutla,15.7333,-96.4667,33.73,55,83,1.03,MX,1690042316
291,kavieng,-2.5744,150.7967,27.67,78,99,1.61,PG,1690042316
292,maunabo,18.0072,-65.8993,34.15,81,5,4.51,PR,1690042316
293,nadi,-17.8,177.4167,18.0,94,20,3.6,FJ,1690042316
294,glarus,47.0406,9.068,24.71,16,63,0.93,CH,1690042316
295,khartoum,15.5518,32.5324,38.79,24,81,7.71,SD,1690042316
296,hammerfest,70.6634,23.6821,14.25,67,73,8.75,NO,1690042317
297,gonabad,34.3529,58.6837,30.65,13,0,8.6,IR,1690042317
298,srandakan,-7.9386,110.2506,22.73,91,40,2.88,ID,1690042317
299,codrington,-38.2667,141.9667,10.77,88,100,7.84,AU,1690042317
300,georgetown,5.4112,100.3354,28.96,84,20,0.51,MY,1690042105
301,nova sintra,14.8667,-24.7167,23.06,78,20,8.82,CV,1690042317
302,fortuna,40.5982,-124.1573,14.81,96,40,0.0,US,1690042318
303,timbuktu,16.7735,-3.0074,39.61,23,52,2.02,ML,1690042318
304,sonoita,31.85,-112.8333,34.91,29,34,1.42,MX,1690042318
305,flying fish cove,-10.4217,105.6791,24.82,88,100,5.14,CX,1690042318
306,strezhevoy,60.7333,77.5889,19.91,67,96,2.53,RU,1690042318
307,krasnozerskoye,53.9828,79.2374,15.71,89,100,4.52,RU,1690042318
308,mount gambier,-37.8333,140.7667,9.81,68,99,3.85,AU,1690042319
309,bobo-dioulasso,11.1771,-4.2979,23.25,94,20,2.57,BF,1690042319
310,alaghsas,17.0187,8.0168,38.95,20,34,1.77,NE,1690042319
311,qui nhon,13.7667,109.2333,27.39,78,100,1.41,VN,1690042319
312,faranah,10.0404,-10.7434,27.74,73,90,2.37,GN,1690042319
313,dwarka,22.2394,68.9678,28.2,87,100,6.01,IN,1690042319
314,mitsamiouli,-11.3847,43.2844,25.57,75,96,5.11,KM,1690042320
315,polyarnyy,69.1989,33.4478,10.06,82,87,7.52,RU,1690042320
316,assab,13.0092,42.7394,33.19,64,80,6.74,ER,1690042320
317,grand falls-windsor,48.9332,-55.6649,25.84,77,100,3.13,CA,1690042320
318,novomoskovs'k,48.6167,35.2,24.1,43,98,2.53,UA,1690042320
319,sitia,35.2,26.0986,33.32,58,0,4.95,GR,1690042320
320,luderitz,-26.6481,15.1594,14.55,59,100,4.31,NA,1690042321
321,kon tum,14.35,108.0,21.93,97,96,0.78,VN,1690042321
322,cururupu,-1.8283,-44.8683,31.06,45,28,3.74,BR,1690042321
323,carbondale,37.7273,-89.2168,26.7,65,40,3.6,US,1690042321
324,borogontsy,62.6683,131.1683,12.06,81,34,2.67,RU,1690042321
325,okakarara,-20.5833,17.4333,25.46,20,1,4.04,NA,1690042321
326,nemuro,43.3236,145.575,14.78,96,99,4.75,JP,1690042322
327,aral,40.5156,81.2636,34.12,18,99,6.42,CN,1690042322
328,rongelap,11.1635,166.8941,28.08,79,97,7.63,MH,1690042310
329,mahuta,-10.8667,39.45,21.59,77,100,2.5,TZ,1690042322
330,el obeid,13.1842,30.2167,32.08,44,99,6.47,SD,1690042322
331,nadym,65.5333,72.5167,21.44,68,44,2.47,RU,1690042322
332,nova vicosa,-17.8919,-39.3719,23.82,74,47,4.62,BR,1690042323
333,chui,-33.6971,-53.4616,23.47,65,100,7.01,UY,1690042323
334,buka,40.8108,69.1986,30.81,18,0,2.28,UZ,1690042323
335,saint-francois,46.4154,3.9054,27.69,32,0,4.12,FR,1690042323
336,newman,37.3138,-121.0208,29.6,12,37,2.18,US,1690042324
337,lensk,60.7253,114.9278,18.63,74,0,1.68,RU,1690042324
338,dawei,14.0833,98.2,25.11,95,100,1.63,MM,1690042324
339,cidreira,-30.1811,-50.2056,20.89,72,99,4.73,BR,1690042324
340,guozhen,34.3659,107.359,27.28,56,45,1.07,CN,1690042324
341,asha,54.9973,57.2722,20.66,72,65,4.92,RU,1690042325
342,marka,1.7159,44.7717,25.0,86,100,6.48,SO,1690042325
343,sanya,18.2431,109.505,26.78,89,0,2.08,CN,1690042325
344,quirihue,-36.2833,-72.5333,11.6,70,23,3.74,CL,1690042325
345,rockland,41.1668,-74.0496,27.69,58,8,1.34,US,1690042325
346,alice springs,-23.7,133.8833,2.75,75,0,2.57,AU,1690042331
